Name,Position,Department,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01
Kostiantyn Koval,Middle QA,UI/UX Design department,447847,164094,465854,104243,386753,475649,327374,240664,295874,374693,146488,185988,111510,430871,497054,218057,341453,330089,175675,212919,494938,174896,194100,170588,308604,244648,321023,359359,357817,207872,260301,334836,398913,381132,297933,496851,377322,202274,411243,106828,321068,249106,295754,319065,492945,491658,413925,454643,401224,412331,203611,469240,272605,254527,141670,390038,420585,290283,168718,245578,116585,488655,193363,104770,182111,166747,179694,322618,274619,120600,467536,477428,268153,249666,434290,151175,169416,265421,451039,457187,219838,117521,133988,186835,146868,179008,242030,214141,400529,457166,319638,421739
Oleksii Dubovyk,UI/UX Designer,UI/UX Design department,185375,372508,266663,463735,197221,104697,133592,427688,222570,480884,171417,388570,439043,213490,310378,322199,274087,434559,264005,482106,327344,475552,186171,113895,385334,445924,323524,324506,422971,328833,310713,439979,421440,365367,230342,454202,346401,462098,182297,361990,253149,238418,144363,204288,220488,283734,331688,347627,404934,268377,444831,252015,412390,440975,187529,477446,372149,109517,191029,228486,100390,128084,268373,179771,321544,400520,423693,407811,142762,437973,278764,492431,195548,247998,124902,475475,137293,426923,429229,397599,213181,429764,141305,143919,129753,337480,123729,406644,390757,153688,290535,439698
Vadym Nazarenko,Project Manager,Project Management department,310276,127322,122931,467372,421828,160422,242348,461800,487268,496187,292399,179219,489801,457709,415084,490130,385690,217565,133629,391668,271333,104417,461309,100327,351505,473127,252359,236041,152572,338212,128172,364231,148267,333121,428660,152667,383683,477992,385638,374505,445365,463446,221655,171676,394091,499966,424833,496008,145544,429000,181706,228780,267474,137801,461785,362385,158295,151921,138119,103567,382184,212068,349552,488143,456418,398719,398380,403430,195132,176219,308781,173903,199737,249799,134138,285868,456250,371416,454731,323969,441364,223848,278380,298442,267036,424529,163745,221656,290225,134157,295861,100912
Vasyl Ihnatenko,Team Lead,Project Management department,297239,100311,349364,273412,363837,224369,327226,216434,348799,244359,156724,287338,417368,275920,434142,456414,225037,354389,232397,444616,351438,315020,234005,127833,132109,184983,310940,123170,111835,411435,249130,319702,247537,494701,284091,358036,156302,177505,428033,131749,290999,355118,107128,142654,290145,206108,321155,111741,143997,476392,141936,186105,404421,395033,442868,433990,105869,112877,365925,318101,439038,403506,275539,157240,302455,187136,344128,158505,370258,468248,397057,318117,135937,442968,256221,412774,154182,184602,290019,369163,360877,131825,386562,228283,393385,108035,143792,411267,487014,289532,489711,450918
Yurii Kovalchuk,Senior QA,Project Management department,471731,116331,428585,199175,329870,209105,418625,347152,187424,133391,410505,400761,486244,125835,442716,325166,405297,281007,306120,481291,465194,340061,283426,210590,282242,265378,163556,401739,200287,481938,303263,205492,317492,399182,289168,197581,402430,478212,111575,318013,316239,135284,249909,493425,216282,332394,342142,103298,454615,182395,227152,240199,452874,224400,255169,295263,230432,332955,189889,161296,147317,171783,451416,263979,325365,359507,430076,253974,274168,498771,111990,279601,223980,212271,395373,402937,143259,190808,342228,338630,264218,437930,498245,354799,331481,290330,385699,343483,420219,112714,409890,133497
Petro Hnatenko,QA Lead,HR department,130822,212610,369456,364765,306865,355050,223767,158395,352296,140279,179167,330295,255854,329636,232224,279520,280753,249629,143176,284489,445693,178363,498628,122546,113498,459645,252775,460862,319054,447771,379159,488880,429826,355771,331814,486979,413429,441241,141062,437030,221615,140203,168439,361853,224312,314666,240910,357418,372691,275849,321670,387451,169215,217119,276543,117973,426473,476513,348095,444633,212271,130731,262556,221639,369703,283063,318138,165877,249337,398411,383301,469616,210396,179202,445211,193350,473315,157306,152922,134660,178063,310759,154582,294964,426413,403687,352366,474007,355048,102388,273953,236781
Volodymyr Dudarenko,Junior Developer,HR department,142977,433969,401865,174128,243819,215700,330658,228752,263521,331791,448586,488185,220072,474670,415163,377587,283001,144669,197730,323489,334963,430922,187296,365239,496880,180965,498562,261369,297702,288262,299468,140066,315730,455901,333655,236519,125835,439930,271384,119402,428463,489994,312981,303103,199805,368216,385815,257360,263866,243445,281393,206668,220724,240137,306026,464531,160696,142476,255608,166579,433914,249110,286141,242208,466137,495209,383966,205521,242978,207604,469650,384195,173217,307622,182374,221066,254361,148770,460618,195301,378056,245086,277969,386421,426761,121486,270495,233788,185605,188173,140672,472918
Ruslan Slobodianiuk,Senior Developer,QA department,488123,171402,157245,132399,225968,273237,489732,228893,437273,231984,253908,173977,432333,113717,416156,116964,304250,134322,314454,449837,485266,319893,320759,497323,347085,272569,355849,311807,467719,120077,330745,182897,201970,130782,491587,280827,441466,136120,484535,472682,181608,238086,360672,461335,226310,173279,139980,113000,338175,465598,340872,462930,322945,477703,178096,256890,340013,448566,111508,494828,113008,355502,284817,131151,186816,492236,139033,372429,498521,269718,348698,275786,268099,203935,256979,339243,408382,295879,197391,217043,159240,339037,345589,239948,101384,194043,310419,486424,178319,402647,362383,121540
Serhii Trofymenko,Senior QA,UI/UX Design department,241696,157036,448475,268830,411900,289746,230379,375933,378776,235551,238149,244261,276251,379730,147888,240163,484405,329616,456076,403852,237203,342911,314151,260802,415129,349931,293921,323542,226972,266130,104915,157909,273476,424455,380401,257828,475100,480443,485053,340590,490061,370366,363705,437235,437557,428025,194283,216796,131508,482354,245114,281065,201672,383920,128861,449633,161405,292847,230811,202224,384124,383713,396154,122555,112730,250150,192896,341536,322983,430647,324636,340916,153456,109441,123091,242211,241319,196708,189447,410722,193784,158336,109646,110297,146643,202725,272974,135933,315359,164914,362355,378884
Bogdan Petrenko,Project Manager,Development department,232637,377401,351724,147416,127223,118252,499844,453358,264197,303073,381374,407687,122776,465669,403689,390698,117993,428600,396946,351315,204544,496881,467214,461907,163330,203209,483741,239510,172620,426558,101655,489283,266813,251611,176904,101810,361609,105998,260589,297516,357840,116207,299130,488206,437001,357140,246522,333730,326552,200257,495585,207924,450753,240737,253053,111963,338610,256143,187455,160086,132679,196284,221933,320696,148022,336131,480622,159918,220754,111224,391019,321856,457206,256211,312402,358668,249527,363362,287112,272064,285418,196705,140257,360946,256403,223524,315246,496813,352194,305416,190618,332363
Petro Lytvynenko,Team Lead,Project Management department,255252,409871,358773,180368,467492,417208,145649,342518,401380,202697,330237,285341,301369,192785,475990,256116,193845,179895,271056,410927,443414,490853,482817,497795,272348,214818,399298,472544,162662,279330,301546,225269,415393,406131,195176,222821,409983,287655,123166,475984,334440,497824,474075,394071,350556,328729,244635,423970,283696,129367,244546,204302,471317,164020,108064,426821,424294,422974,136667,272561,346765,103549,424198,254933,192197,141959,251727,253208,366643,158629,402468,418515,492484,454431,427186,371964,239922,392252,424523,137597,401974,392199,342414,452989,190171,313434,375502,169893,158560,245908,458919,424873
Oleksandr Tymoshenko,Junior QA,HR department,239799,103336,148629,377753,128928,243251,102811,241215,350302,429567,266229,317195,304895,305925,202107,146727,344866,406713,166838,285557,394739,436873,497924,160178,328899,371239,442176,125554,254562,396756,181230,189608,372624,106106,331940,302164,484330,249760,310212,253568,434468,345892,145068,108111,145128,289410,487005,125989,123048,210811,442801,323330,178835,496292,493868,300396,152925,398920,306619,400075,224761,312773,155515,282453,175942,277305,167089,106130,102047,184062,241029,362878,223211,437461,160343,136660,268280,297277,203516,211365,469459,340804,316111,350098,473630,303645,378470,280843,416992,375928,376623,265154
Serhii Trofymenko,QA Lead,HR department,128483,433568,243539,199243,296265,440878,388218,235885,270158,236036,285208,136829,458145,341135,363975,275076,270676,405264,356396,319695,122877,145953,196824,337210,246566,243612,108352,297364,249444,311731,140851,269776,332006,146789,300423,127566,158668,250371,297574,127406,226612,272241,225703,449580,164005,336816,268989,176531,105559,408573,133422,100300,436257,232078,402700,280120,350756,345723,151862,485806,496293,127914,101474,322759,354431,230500,110487,213458,287806,496845,317449,196595,156723,480138,251490,234210,292948,100635,255624,362104,407210,257234,493473,261175,343549,166256,265735,331477,491589,108574,139814,463977
Vasyl Ihnatenko,QA Lead,HR department,126471,472332,472731,412318,407525,212612,278827,274085,470499,434112,216609,287904,112648,191695,411400,257076,469428,409325,256687,255959,122683,114271,366901,301206,435703,441114,329061,333472,488937,161980,158244,255089,118937,405256,272647,275021,326839,417425,362307,190693,264645,127944,423765,428307,330461,301368,415030,363803,235589,449993,128897,154165,218432,226816,103285,304749,218636,271143,339821,416169,274932,131148,192213,402389,314420,184887,235897,406340,183248,127805,177385,454330,259529,349190,114050,467633,324237,487546,115816,229536,238543,284258,353763,319084,426203,192553,250427,340163,317782,467672,342524,119655
Mykola Chorny,UI/UX Designer,Project Management department,364737,482691,350455,309291,489548,351955,457132,244670,240088,348849,130021,478389,478942,246698,110036,453013,121842,103718,195461,291469,325493,249565,352896,110707,110613,245675,417425,284304,267312,417820,478223,408629,489765,205548,384814,156657,315494,164474,410113,391973,456654,422029,491596,340156,395443,179468,164847,117420,406290,446547,247053,185141,361839,318001,386214,269118,192360,413180,378998,450602,495486,456178,209373,166478,238186,318872,100896,307016,187668,311468,175370,434080,153990,125329,429359,202193,365388,483578,170239,392354,407782,289365,296356,489195,453152,345964,441262,185749,400127,374622,278572,394730
Danylo Horbach,DevOps Engineer,HR department,216681,426549,162367,448140,420598,114965,257438,445953,343514,200296,419645,123110,210581,395508,168062,226950,402528,239451,120645,495959,302358,426664,299039,499390,249913,494040,198546,325166,172822,364771,378410,231671,347422,240016,259854,482774,125855,135077,242792,215957,288211,449097,308368,213803,446461,431553,396068,135149,435652,205911,142140,463224,245662,247414,160975,114243,393395,288945,474349,476089,262568,200904,189212,234861,110851,259216,391820,446754,195013,354561,299820,132616,358801,345848,208267,121734,308705,360403,267775,330445,449526,390929,360987,196717,357760,177777,299112,403912,135324,238055,417247,417380
Taras Kuzmenko,Project Manager,QA department,106121,486986,133753,425025,252135,396220,267806,127068,333148,445363,371801,173887,414164,175858,177025,190605,154231,486367,491165,243206,284063,494259,165861,184646,307801,281760,259475,349000,477914,178401,212854,478516,286861,199029,197889,162348,386646,161554,347657,387273,121329,146223,250579,468328,340206,216197,268029,458415,224797,307186,307728,218414,490111,317374,299666,416770,440329,484250,194929,458810,196300,475029,378469,177941,330139,301750,390610,308291,152620,146138,398214,384407,210383,406317,415543,465745,173080,488041,101050,311657,250355,267352,318138,344785,183315,304245,406565,458745,335878,498464,200958,136468
Igor Zabolotnyi,Junior QA,QA department,445903,244159,165239,202690,214725,327637,367249,172965,186745,113697,490208,154479,116648,178787,271166,315713,168242,120379,436532,329212,324277,481803,443360,229045,262928,215300,320032,459166,352911,135438,471292,319594,140941,333742,389494,272506,280681,309811,311585,258596,221700,429484,250862,149014,178532,271240,278523,266819,320919,414351,182295,271108,395287,234727,420156,251327,173541,154078,370857,351755,183126,198063,335752,284749,156848,188358,199770,455519,139474,198761,248364,172787,232164,263775,297346,410371,460327,423151,321311,297360,318185,270446,291809,330120,228461,217625,376484,189324,309153,151663,211431,191471
Maksym Kovalenko,Middle Developer,QA department,395022,465390,459704,483141,155741,430113,323815,309353,110332,299987,386827,198217,313034,310346,323358,227406,113256,281156,413711,252236,230734,193258,143532,195460,174808,137359,234698,363947,228267,128202,181303,111409,260357,203027,168471,385955,313451,249814,235686,276113,326984,263403,185544,212337,494834,294880,139790,207634,306948,386158,425860,444141,421205,266580,243239,320468,215277,260374,326497,228084,299984,495031,225120,168037,150834,350014,413796,483320,446303,392190,227879,497361,458530,280880,478108,158478,372004,288351,148190,499636,144251,223785,131227,153448,212541,147349,191175,184859,210153,482685,242326,278666
Taras Zubenko,HR Specialist,QA department,100317,157894,289922,151900,219883,212547,133547,498591,319391,113718,289407,291233,218820,465709,245773,395066,357092,154077,299428,496848,151624,303873,411778,432529,406116,340867,455495,368831,340663,427752,337721,121020,206245,125299,258330,227809,372340,144607,397012,263694,213651,420982,221945,127080,351149,438651,366052,244838,143169,493181,189753,175407,396937,393449,150857,486772,401307,370117,127676,196620,282127,366734,458059,142513,251967,181747,379812,496492,417898,334701,263126,241919,164718,256263,405751,160352,209347,278857,122316,398871,229620,307370,466817,206019,494130,327126,136169,414696,280086,348229,492865,346745
Serhii Yurchenko,UI/UX Designer,HR department,193620,423066,254853,300219,271077,268888,335743,234175,134639,232577,342901,192317,221370,397095,136350,337355,140025,419358,110527,323283,465124,412828,100701,174986,499542,253833,308805,183107,124126,127878,392593,476300,485156,252083,443960,194376,146600,307316,181092,369598,352498,452687,249803,178678,167103,472749,237176,351133,383635,174285,314739,218454,155715,158874,193112,290000,265294,350646,127581,442525,422808,140392,104658,372152,281419,164084,372460,298394,278080,152447,243318,131295,324082,449163,395513,209730,253024,232122,365049,271087,150794,446940,419095,155991,101857,243614,427104,440644,308604,361828,312076,407734
Illia Kravchuk,Team Lead,HR department,338657,342584,308199,352935,168312,260063,324951,356312,380655,238152,320913,101165,337944,189712,201081,479458,371390,458225,348172,281262,213960,101488,278309,204621,177913,430780,370250,476555,467717,493758,338365,103048,349143,218765,113297,131272,208584,310165,363309,314050,248889,343256,388436,228721,269206,328824,105927,117870,477004,209488,377278,433307,462613,116899,269860,188281,159665,219250,145212,230031,334244,316895,315193,202347,424407,364683,324257,117519,129335,262632,376856,321602,138640,120984,129508,220976,399093,104547,201161,390397,210692,358437,433656,498440,312400,239513,418765,305751,193805,438926,405786,148616
Oleksii Tkachuk,HR Specialist,Project Management department,269126,420161,324860,266009,193925,300408,363605,116818,272689,163231,157499,411304,344959,124825,372408,291225,397040,384590,160256,488142,362148,202929,321786,286194,290782,187302,131458,490195,399383,100864,167163,394522,194183,318314,244832,388528,284576,414510,411933,248392,127741,232095,199767,494793,205155,469840,164516,126884,207482,316878,244910,459628,227382,464877,274658,226581,497039,275873,446514,121049,467701,275311,263878,383510,465034,429383,359966,469978,486759,121472,135639,493012,468382,243293,462019,347984,374717,486628,468236,144873,148286,240914,472957,230538,300547,466474,389809,332707,182540,404310,129709,331525
Oleksii Hryhorenko,Senior QA,Project Management department,402094,425019,220105,398598,144743,268850,119396,106298,406640,404344,454785,428809,486457,403014,140043,198466,225283,210595,227496,262326,378326,339111,310922,418440,189568,301368,455744,186885,470868,116387,277952,273933,250136,492145,142214,188000,136165,225176,341826,152095,145081,426758,446939,358198,217465,162538,325399,418582,317285,283547,357575,282208,218826,162075,282375,334538,361027,338087,120839,248471,325073,422731,356849,230079,147483,367667,261564,397517,279225,311763,471791,415769,217452,196009,156239,426184,343708,453651,469259,280991,291899,177150,175565,303539,155041,192706,212137,112193,410665,356109,277295,227140
